date,headlines,tickers_covered
2023-01-12,136,43
2023-01-13,132,39
2023-01-17,319,44
2023-01-18,131,40
2023-01-19,126,41
2023-01-20,149,39
2023-01-23,222,45
2023-01-24,189,43
2023-01-25,193,43
2023-01-26,233,44
2023-01-27,185,38
2023-01-30,175,41
2023-01-31,217,42
2023-02-01,172,42
2023-02-02,163,44
2023-02-03,127,42
2023-02-06,215,46
2023-02-07,134,43
2023-02-08,141,40
2023-02-09,175,44
2023-02-10,92,33
2023-02-13,176,44
2023-02-14,137,43
2023-02-15,94,36
2023-02-16,157,45
2023-02-17,113,39
2023-02-21,289,46
2023-02-22,163,41
2023-02-23,202,44
2023-02-24,117,40
2023-02-27,191,46
2023-02-28,103,31
2023-03-01,152,43
2023-03-02,134,43
2023-03-03,90,34
2023-03-06,186,45
2023-03-07,129,41
2023-03-08,135,41
2023-03-09,146,42
2023-03-10,139,42
2023-03-13,214,44
2023-03-14,138,39
2023-03-15,159,45
2023-03-16,158,44
2023-03-17,140,38
2023-03-20,207,45
2023-03-21,141,43
2023-03-22,160,42
2023-03-23,137,42
2023-03-24,105,35
2023-03-27,203,41
2023-03-28,112,39
2023-03-29,151,43
2023-03-30,133,40
2023-03-31,116,38
2023-04-03,269,45
2023-04-04,171,44
2023-04-05,148,35
2023-04-06,145,45
2023-04-10,276,45
2023-04-11,140,44
2023-04-12,156,40
2023-04-13,171,41
2023-04-14,183,40
2023-04-17,257,44
2023-04-18,216,47
2023-04-19,226,44
2023-04-20,222,45
2023-04-21,150,42
2023-04-24,252,47
2023-04-25,235,47
2023-04-26,213,44
2023-04-27,250,45
2023-04-28,224,43
2023-05-01,235,45
2023-05-02,183,45
2023-05-03,180,40
2023-05-04,197,44
2023-05-05,98,41
2023-05-08,188,44
2023-05-09,143,37
2023-05-10,145,41
2023-05-11,159,43
2023-05-12,119,36
2023-05-15,209,46
2023-05-16,161,39
2023-05-17,149,38
2023-05-18,184,42
2023-05-19,159,40
2023-05-22,245,44
2023-05-23,110,37
2023-05-24,152,41
2023-05-25,245,41
2023-05-26,151,38
2023-05-30,329,45
2023-05-31,191,40
2023-06-01,203,47
2023-06-02,193,38
2023-06-05,246,44
2023-06-06,126,36
2023-06-07,136,38
2023-06-08,186,44
2023-06-09,164,39
2023-06-12,224,42
2023-06-13,183,43
2023-06-14,161,35
2023-06-15,164,42
2023-06-16,151,40
2023-06-20,305,42
2023-06-21,183,39
2023-06-22,175,45
2023-06-23,163,41
2023-06-26,220,42
2023-06-27,166,45
2023-06-28,186,39
2023-06-29,221,44
2023-06-30,185,41
2023-07-03,218,43
2023-07-05,225,40
2023-07-06,197,46
2023-07-07,158,42
2023-07-10,206,42
2023-07-11,190,44
2023-07-12,194,43
2023-07-13,193,44
2023-07-14,217,40
2023-07-17,277,45
2023-07-18,242,46
2023-07-19,211,43
2023-07-20,225,44
2023-07-21,195,45
2023-07-24,292,48
2023-07-25,276,48
2023-07-26,254,43
2023-07-27,270,45
2023-07-28,262,40
2023-07-31,342,41
2023-08-01,234,44
2023-08-02,238,45
2023-08-03,248,47
2023-08-04,177,43
2023-08-07,191,44
2023-08-08,173,33
2023-08-09,197,42
2023-08-10,168,45
2023-08-11,165,38
2023-08-14,223,38
2023-08-15,196,45
2023-08-16,164,38
2023-08-17,219,47
2023-08-18,176,38
2023-08-21,262,44
2023-08-22,195,42
2023-08-23,248,39
2023-08-24,269,45
2023-08-25,183,42
2023-08-28,244,42
2023-08-29,193,39
2023-08-30,163,38
2023-08-31,189,45
2023-09-01,153,43
2023-09-05,297,44
2023-09-06,169,46
2023-09-07,190,45
2023-09-08,191,46
2023-09-11,277,48
2023-09-12,194,42
2023-09-13,159,41
2023-09-14,202,44
2023-09-15,210,39
2023-09-18,226,43
2023-09-19,177,40
2023-09-20,180,40
2023-09-21,202,46
2023-09-22,150,38
2023-09-25,251,42
2023-09-26,170,41
2023-09-27,164,44
2023-09-28,179,43
2023-09-29,196,41
2023-10-02,282,48
2023-10-03,166,45
2023-10-04,161,39
2023-10-05,192,45
2023-10-06,189,40
2023-10-09,268,43
2023-10-10,200,42
2023-10-11,199,38
2023-10-12,197,45
2023-10-13,198,41
2023-10-16,242,43
2023-10-17,244,41
2023-10-18,301,44
2023-10-19,234,46
2023-10-20,194,44
2023-10-23,316,45
2023-10-24,284,42
2023-10-25,248,42
2023-10-26,272,48
2023-10-27,242,39
2023-10-30,255,43
2023-10-31,216,44
2023-11-01,207,44
2023-11-02,273,47
2023-11-03,140,40
2023-11-06,240,46
2023-11-07,181,42
2023-11-08,172,39
2023-11-09,198,45
2023-11-10,151,39
2023-11-13,252,47
2023-11-14,200,37
2023-11-15,149,37
2023-11-16,177,43
2023-11-17,144,40
2023-11-20,190,41
2023-11-21,199,42
2023-11-22,192,41
2023-11-24,237,43
2023-11-27,237,43
2023-11-28,146,38
2023-11-29,195,44
2023-11-30,176,44
2023-12-01,129,40
2023-12-04,220,41
2023-12-05,168,38
2023-12-06,198,43
2023-12-07,210,45
2023-12-08,193,45
2023-12-11,394,50
2023-12-12,264,45
2023-12-13,204,46
2023-12-14,120,37
2023-12-15,108,30
2023-12-18,288,44
2023-12-19,6,1
2023-12-20,5,1
2023-12-21,8,1
2023-12-22,5,1
2023-12-26,10,1
2023-12-27,4,1
2023-12-28,10,1
2023-12-29,14,1
